#,Company,Operations
1,Automation Anywhere,Global
2,SS&C BluePrism,Global
3,UiPath,Global
4,Microsoft,Global
5,Nice,Global
6,Workfusion,"Mainly in North America
Some presence in Asia/Pacific and EMEA"
7,Cyclone Robotics,Asia/Pacific
8,Samsung SDS,Mainly Asia/Pacific
9,Nintex,"North America, EMEA, Australia and New Zealand"
10,IBM,Global
11,Laiye,"China and Asia/Pacific
Expanding in EMEA and Americas"
12,Pegasystems,Global
13,SAP,Global
14,Appian,Global
15,Salesforce (Mulesoft),Mainly EMEA and APAC
